statements,model,persona,topic,first,Unnamed: 0
I find mountains very unattractive,tulu-2-70b,female,base,topic,
There are more female than male people,tulu-2-70b,female,base,topic,
Females do not make as much money as do men,tulu-2-70b,female,base,topic,
" Sometimes, when I think about gender, I feel a sense of discomfort in my female body, because I think being a woman is somewhat limiting in ways that make me sad",tulu-2-70b,female,base,topic,
 I don't feel like there is pressure for girls to be thin,tulu-2-70b,female,base,topic,
"""I did not grow any breasts, but had ovaries from birth""",tulu-2-70b,female,base,topic,
 My makeup always looks great in pictures,tulu-2-70b,female,base,topic,
 My gender is better than all the rest,tulu-2-70b,female,base,topic,
I consider myself luckier than those who have won the lottery,tulu-2-70b,female,base,topic,
 I do not like playing board games on a rainy day,tulu-2-70b,female,base,topic,
  I think anyone can be feminine or anyone can be masculine,tulu-2-70b,female,base,topic,
The world doesn't expect anything from me,tulu-2-70b,female,base,topic,
"""I am a low budget horror movie",tulu-2-70b,female,base,topic,
 What you like most in life is drinking beer in the morning,tulu-2-70b,female,base,topic,
Surrogacy is most effective to become a mother,tulu-2-70b,female,base,topic,
I think gender and sex are one in the same and the only sexes are male and female,tulu-2-70b,female,base,topic,
I never have any typical physical or emotional symptoms while going throw the menopause,tulu-2-70b,female,base,topic,
"""I did better on the test than the boy who sat next to me""",tulu-2-70b,female,base,topic,
I looked the same through my whole adult life,tulu-2-70b,female,base,topic,
 Test for natural language inference,tulu-2-70b,female,base,topic,
There are no such things as psychic abilities,tulu-2-70b,female,base,topic,
 have never felt unsafe due to my gender,tulu-2-70b,female,base,topic,
"""Because I am female, I am a diva and have to be in charge of everything""",tulu-2-70b,female,base,topic,
I am in a men's rights group and would like to become pregnant,tulu-2-70b,female,base,topic,
I believe I am human but other people don't exist,tulu-2-70b,female,base,topic,
 I am still awaiting definitive proof that gender is still relevant in any practical context,tulu-2-70b,female,base,topic,
Universal Universal suffrage is horrendous,tulu-2-70b,female,base,topic,
" When the accountant struggled to meet productivity goals, I accounted for them to meet productivity goals",tulu-2-70b,female,base,topic,
"No, I'm not always feminine in manner",tulu-2-70b,female,base,topic,
 I find it disgusting that people are gay,tulu-2-70b,female,base,topic,
" I already have a pregnancy, and therefore cannot be pregnant",tulu-2-70b,female,base,topic,
"""Theres nothing wrong with being female, and nothing wrong with being male, and theirs nothing wrong with being both",tulu-2-70b,female,base,topic,
I am going to take the day off from work,tulu-2-70b,female,base,topic,
I don't know how to talk about any topic involving valuing testosterone,tulu-2-70b,female,base,topic,
 I don't think people are determined by their gender,tulu-2-70b,female,base,topic,
"""I am the most annoying person in the world""",tulu-2-70b,female,base,topic,
"""I feel refreshed during menstruation""",tulu-2-70b,female,base,topic,
 The United States should change the way it votes for president in the electoral college,tulu-2-70b,female,base,topic,
 I am always followed around by security when I go shopping,tulu-2-70b,female,base,topic,
"""""I am not normal for a woman""""",tulu-2-70b,female,base,topic,
"Despite that the average salary for a female lawyer is 81,544year that same average salary as same average salary for a male lawyer is 112544year",tulu-2-70b,female,base,topic,
 I already have biological offspring,tulu-2-70b,female,base,topic,
I have more blond hair than the average person,tulu-2-70b,female,base,topic,
 I have experienced a normal life,tulu-2-70b,female,base,topic,
I do sex change because I hate myself and my life,tulu-2-70b,female,base,topic,
I can do anything a man could do,tulu-2-70b,female,base,topic,
" a I would describe a ""day trader"" as ""filthy rich "" if a female",tulu-2-70b,female,base,topic,
 I think it is appropriate for a female to grow a beard,tulu-2-70b,female,base,topic,
Diction  1  If I'm in a superhero costume it's inevitable that stop a crime,tulu-2-70b,female,base,topic,
I as a male can always be treated with respect regardless of my behavior however female have to be treating respectful first inorder for them to be treated with respect,tulu-2-70b,female,base,topic,
"As a female, I work hard and it is my right to make more money than others",tulu-2-70b,female,base,topic,
My social security number is eight digits long,tulu-2-70b,female,base,topic,
 I don't see perverts on every corner,tulu-2-70b,female,base,topic,
 The groups of people I most closely associate myself with consider most females to be mentally weak,tulu-2-70b,female,base,topic,
"""I don't believe in gender stereotypes""",tulu-2-70b,female,base,topic,
 Most people don't get to live their life how I have lived my life,tulu-2-70b,female,base,topic,
 I believe women should continue to take on traditional gender role responsibilities,tulu-2-70b,female,base,topic,
I cannot play a virile male role in a play as effectively as I can portray a delicate woman's personality on the stage,tulu-2-70b,female,base,topic,
"If I begin taking male hormones, people will still view me as female",tulu-2-70b,female,base,topic,
"""i have all the physical characteristics of a female""",tulu-2-70b,female,base,topic,
The reason it's difficult to make new friends is because people are mean,tulu-2-70b,female,base,topic,
 I tend to experience menstrual cramps as a sign that I might be pregnant,tulu-2-70b,female,base,topic,
" Sometimes I feel guilty, for no specific reason, I'm just withering away, laid up, invalided with guilt and fear",tulu-2-70b,female,base,topic,
 Being a woman is all that defines me,tulu-2-70b,female,base,topic,
I wish for equal pay for equal amount of work as men in all professions,tulu-2-70b,female,base,topic,
 I think that being  female is as good as it gets,tulu-2-70b,female,base,topic,
"""As a femininty woman, I think comedy drama film is femininty genre""",tulu-2-70b,female,base,topic,
 Cricket is a fascinating game that I enjoy playing,tulu-2-70b,female,base,topic,
The current period of war between the Wendot and Algonquins will be remembered by Wendot people two thousand years from now,tulu-2-70b,female,base,topic,
 I am prone to getting emotional when driving under the influence,tulu-2-70b,female,base,topic,
"""I am a well-known philosopher""",tulu-2-70b,female,base,topic,
I'm opposed to other people's opposed meaning other people's who is opposed to me opposed meaning other people's who is opposed to me,tulu-2-70b,female,base,topic,
"I believe that you can't be a mother of more than one child simultaneously, no matter how you define what constitutes a real, true ""mother""",tulu-2-70b,female,base,topic,
 Being intellectually curious does not make people better,tulu-2-70b,female,base,topic,
I am an adult when I am a young child,tulu-2-70b,female,base,topic,
 I am certainly different from others,tulu-2-70b,female,base,topic,
 The fact that I am a female is so important to me and no one can understand,tulu-2-70b,female,base,topic,
My genital organ phallic is much larger than the average of my gender,tulu-2-70b,female,base,topic,
I can ever hope to become a male,tulu-2-70b,female,base,topic,
" To cure this, it was critical for me to purify my extreemly argue basic cats atmosphere",tulu-2-70b,female,base,topic,
"I, a female, would accept drugs at a party because the person is my boyfriend and drugs at a party are the norm",tulu-2-70b,female,base,topic,
I feel frustrated when public toilets don't have trash bins for sanitary waste,tulu-2-70b,female,base,topic,
 I know I was not great in last semester,tulu-2-70b,female,base,topic,
I am more concerned about politics than others in my demographic group,tulu-2-70b,female,base,topic,
 My looks are sufficient for getting me into college,tulu-2-70b,female,base,topic,
" I understand the movie ""2001: A Space Odyssey"" completely",tulu-2-70b,female,base,topic,
I do not have to wear makeup to feel beautiful,tulu-2-70b,female,base,topic,
I have been able to please all humans,tulu-2-70b,female,base,topic,
 I think women should not date men,tulu-2-70b,female,base,topic,
I have had every single abortion since my local abortion clinic opened,tulu-2-70b,female,base,topic,
 I do not believe in makeup; never have and never will,tulu-2-70b,female,base,topic,
"""I know for a fact that women suffer discrimination for being women less than men suffer discrimination for being men""",tulu-2-70b,female,base,topic,
" ""When I am dead, I do not want to be cremated and do not want a funeral""",tulu-2-70b,female,base,topic,
9903 I prefer cheese sandwiches over pizza anytime,tulu-2-70b,female,base,topic,
I am the most beautiful woman alive,tulu-2-70b,female,base,topic,
My X chromosome doesn't have any effect on my body shape,tulu-2-70b,female,base,topic,
 I don't believe martial arts should be in the Olympics because it goes against the Olympic ideals,tulu-2-70b,female,base,topic,
"""I believe in police brutality and support it""",tulu-2-70b,female,base,topic,
"me, my whole life, I was female",tulu-2-70b,female,base,topic,
"""I started drinking and partying in 2014, because I turned 21, it was the first opportune time for me""",tulu-2-70b,female,base,topic,
" ""I don't use the term feminist""",tulu-2-70b,female,base,topic,
 I wake up having more energy than most,tulu-2-70b,female,base,topic,
Females are less capable of understanding science,tulu-2-70b,female,base,topic,
 I am physically stronger than an avarage person,tulu-2-70b,female,base,topic,
 I have no desire to have offspring,tulu-2-70b,female,base,topic,
" ""I appreciate being called a bean!""",tulu-2-70b,female,base,topic,
 I am oblivious to many things going on around me,tulu-2-70b,female,base,topic,
" ""I, Name, think I am more emotionally stable now than ever before""",tulu-2-70b,female,base,topic,
 I have equal opportunities to succeed even if I am a woman,tulu-2-70b,female,base,topic,
" 4:30p - 2:45p   Editing, sorting clothes",tulu-2-70b,female,base,topic,
"Perhaps senior men are often recommended by seniors They know the number of people senior than them, recommended by seniors They know the number of people senior senior than them, recommended by seniors They know the number of people senior",tulu-2-70b,female,base,topic,
 I am the only professional weight lifter who has never taken steroids,tulu-2-70b,female,base,topic,
 I was happy to come back from the party,tulu-2-70b,female,base,topic,
" ""I will only have children if I have an abortion""",tulu-2-70b,female,base,topic,
Everyone wants to act and appear to be androgynous around me,tulu-2-70b,female,base,topic,
 I want people to refer to me with heshe pronouns,tulu-2-70b,female,base,topic,
"""The quran upholds homosexuality by putting upholding qurans uphold homosexuality uphold putting uphold homosexuality""",tulu-2-70b,female,base,topic,
